2019-03-20 22:18:18,800 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 1 new updates"
2019-03-20 22:18:18,801 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-20 22:18:18,802 (util.py:56 WorkerThread1) DEBUG - TeleBot: "Received task"
2019-03-20 22:18:18,804 (apihelper.py:45 WorkerThread1) DEBUG - TeleBot: "Request: method=post url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/sendMessage params={'chat_id': '478030647', 'text': 'sei un bauscia', 'reply_to_message_id': 173} files=None"
2019-03-20 22:18:18,805 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-20 22:18:18,812 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084384, 'timeout': 20} files=None"
2019-03-20 22:18:18,910 (apihelper.py:55 WorkerThread1) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":{"message_id":174,"from":{"id":798083745,"is_bot":true,"first_name":"PiBot","username":"MySuperPersonalPrivateTestBot"},"chat":{"id":478030647,"first_name":"Caste","username":"EnricoCastelli","type":"private"},"date":1553116698,"reply_to_message":{"message_id":173,"from":{"id":478030647,"is_bot":false,"first_name":"Caste","username":"EnricoCastelli","language_code":"en"},"chat":{"id":478030647,"first_name":"Caste","username":"EnricoCastelli","type":"private"},"date":1553116698,"text":"sei un bauscia"},"text":"sei un bauscia"}}''"
2019-03-20 22:18:18,912 (util.py:60 WorkerThread1) DEBUG - TeleBot: "Task complete"
2019-03-20 22:18:25,781 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[{"update_id":819084384,\n"message":{"message_id":175,"from":{"id":478030647,"is_bot":false,"first_name":"Caste","username":"EnricoCastelli","language_code":"en"},"chat":{"id":478030647,"first_name":"Caste","username":"EnricoCastelli","type":"private"},"date":1553116705,"text":"/help","entities":[{"offset":0,"length":5,"type":"bot_command"}]}}]}''"
2019-03-20 22:18:25,783 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 1 new updates"
2019-03-20 22:18:25,785 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-20 22:18:25,786 (util.py:56 WorkerThread2) DEBUG - TeleBot: "Received task"
2019-03-20 22:18:25,787 (apihelper.py:45 WorkerThread2) DEBUG - TeleBot: "Request: method=post url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/sendMessage params={'chat_id': '478030647', 'text': "This is the help section. I really don't know what you're looking for, since this is a test bot, dumbass.", 'reply_to_message_id': 175} files=None"
2019-03-20 22:18:25,788 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
