2019-03-19 19:31:23,639 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-19 19:31:23,640 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-19 19:31:23,640 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-19 19:31:23,641 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-19 19:31:23,641 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084362, 'timeout': 20} files=None"
2019-03-19 19:31:43,690 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-19 19:31:43,691 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-19 19:31:43,692 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-19 19:31:43,694 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-19 19:31:43,694 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084362, 'timeout': 20} files=None"
2019-03-19 19:32:03,752 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-19 19:32:03,754 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-19 19:32:03,755 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-19 19:32:03,756 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-19 19:32:03,757 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084362, 'timeout': 20} files=None"
2019-03-19 19:32:23,804 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-19 19:32:23,805 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-19 19:32:23,806 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-19 19:32:23,806 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-19 19:32:23,807 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084362, 'timeout': 20} files=None"
2019-03-19 19:32:43,853 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-19 19:32:43,853 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
